[2025-08-08 00:48:36] [INFO    ] discord.client: logging in using static token
[2025-08-08 00:48:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'guild_scheduled_events': [], 'system_channel_flags': 0, 'public_updates_channel_id': None, 'system_channel_id': '1403039217176805407', 'nsfw_level': 0, 'embedded_activities': [], 'default_message_notifications': 0, 'profile': None, 'activity_instances': [], 'icon': 'af3bc72a372ac37f0d98af7727dac6b9', 'region': 'deprecated', 'owner_id': '699997037923663933', 'application_command_counts': {}, 'presences': [], 'id': '1372971563854467123', 'roles': [{'version': 1747412329745, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1372971563854467123', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754580921139, 'unicode_emoji': None, 'tags': {'bot_id': '155149108183695360'}, 'position': 2, 'permissions': '1513962695871', 'name': 'Dyno', 'mentionable': False, 'managed': True, 'id': '1372972177128689769', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754580921146, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '1721826618638327', 'name': '𝖓𝖔𝖈𝖙𝖚𝖗𝖓𝖆𝖑', 'mentionable': True, 'managed': False, 'id': '1382817071276097696', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3424429}, 'color': 3424429}, {'version': 1754580921141, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '0', 'name': 'b o t <3', 'mentionable': False, 'managed': False, 'id': '1402685839682703543', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754503145236, 'unicode_emoji': None, 'tags': {'bot_id': '1402709186068090981'}, 'position': 1, 'permissions': '2048', 'name': 'new', 'mentionable': False, 'managed': True, 'id': '1402712600915214439', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754580921152, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '1720707884502593', 'name': '𝖉𝖗𝖆𝖌𝖔𝖓', 'mentionable': False, 'managed': False, 'id': '1403038713256083576', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 2129441}, 'color': 2129441}, {'version': 1754595528425, 'unicode_emoji': None, 'tags': {'bot_id': '1403088273425043599'}, 'position': 1, 'permissions': '572020924468288', 'name': 'JJ', 'mentionable': False, 'managed': True, 'id': '1403100084102762570', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'name': 'nyanje', 'premium_progress_bar_enabled': False, 'premium_features': None, 'safety_alerts_channel_id': None, 'threads': [], 'soundboard_sounds': [], 'hub_type': None, 'max_video_channel_users': 25, 'verification_level': 0, 'unavailable': False, 'channels': [{'version': 1754497025483, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'hello here', 'id': '1372971564911296658', 'flags': 0}, {'version': 1754497057095, 'type': 4, 'position': 2, 'permission_overwrites': [], 'parent_id': None, 'name': 'ur voice is heard here', 'id': '1372971564911296659', 'flags': 0}, {'voice_background_display': None, 'version': 1754497130125, 'user_limit': 0, 'type': 2, 'theme_color': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1372971564911296659', 'nsfw': False, 'name': 'general', 'last_message_id': None, 'id': '1372971565435715665', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1754592422417, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1372971563854467123', 'deny': '378225739792', 'allow': '1024'}], 'parent_id': '1372971564911296658', 'nsfw': False, 'name': 'oc', 'last_message_id': None, 'id': '1372972580235116564', 'flags': 0}, {'version': 1754592422426, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1372971564911296658', 'nsfw': False, 'name': 'bot', 'last_message_id': '1403117413444354200', 'id': '1372972956904591511', 'flags': 0}, {'version': 1754592422404, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1372971564911296658', 'nsfw': False, 'name': 'general', 'last_message_id': '1403098924658589837', 'id': '1402258469884661822', 'flags': 0}, {'version': 1754592422449, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1372971563854467123', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1382817071276097696', 'deny': '0', 'allow': '1024'}], 'parent_id': '1402686987571433612', 'nsfw': False, 'name': 'testing', 'last_message_id': '1402687283244564613', 'id': '1402686813033726053', 'flags': 0}, {'version': 1754497038512, 'type': 4, 'position': 1, 'permission_overwrites': [], 'parent_id': None, 'name': 'private', 'id': '1402686987571433612', 'flags': 0}, {'version': 1754592599982, 'type': 0, 'topic': 'hello here :3', 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1372971563854467123', 'deny': '634403982473233', 'allow': '1088'}], 'parent_id': None, 'nsfw': False, 'name': 'hellooo', 'last_message_id': '1403100117132640421', 'id': '1403039217176805407', 'flags': 0}], 'discovery_splash': None, 'latest_onboarding_question_id': None, 'description': 'Hi, welcome to the bot graveyard :3', 'voice_states': [], 'stickers': [], 'large': False, 'members': [{'user': {'username': 'JJ', 'public_flags': 0, 'primary_guild': None, 'id': '1403088273425043599', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9519', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'da06f7d12fe7577df08fd20307c61348'}, 'roles': ['1403100084102762570', '1402685839682703543'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-07T19:38:48.452000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'preferred_locale': 'en-US', 'vanity_url_code': None, 'application_id': None, 'incidents_data': None, 'splash': None, 'inventory_settings': None, 'owner_configured_content_level': 0, 'member_count': 5, 'features': [], 'stage_instances': [], 'banner': None, 'max_members': 25000000, 'lazy': True, 'max_stage_video_channel_users': 50, 'afk_timeout': 300, 'emojis': [], 'rules_channel_id': None, 'moderator_reporting': None, 'version': 1754592487138, 'premium_tier': 0, 'premium_subscription_count': 0, 'mfa_level': 0, 'nsfw': False, 'home_header': None, 'explicit_content_filter': 0, 'joined_at': '2025-08-07T19:38:48.452000+00:00', 'afk_channel_id': None}}
[2025-08-08 00:48:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-08 00:48:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '94f5c395315dc0e04c573eec33d12fba', 'members': [{'user': {'username': 'Dyno', 'public_flags': 589824, 'primary_guild': None, 'id': '155149108183695360', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3861', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'b4fdfc64edff74c37e1574d34fad66c2'}, 'roles': ['1372972177128689769', '1402685839682703543'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-16T16:21:15.742000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'tspmodamn', 'public_flags': 128, 'primary_guild': {'tag': 'NEWB', 'identity_guild_id': '240195284695646209', 'identity_enabled': True, 'badge': '60695e0f6c7a5b9eb60a5be14d471158'}, 'id': '699997037923663933', 'global_name': 'pluto', 'display_name_styles': None, 'display_name': 'pluto', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1341506443659968512', 'expires_at': None, 'asset': 'a_29662829c08c8d55d1614a24fff424cc'}, 'avatar': '194c46dbc4f9b23c668d59a7e6562a11'}, 'roles': ['1382817071276097696'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-16T16:18:49.615000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'alyxshang', 'public_flags': 0, 'primary_guild': None, 'id': '1327025357500448860', 'global_name': '🖤 𝓐𝓛𝓨𝓧 - 天权🖤🐉🇵🇸', 'display_name_styles': None, 'display_name': '🖤 𝓐𝓛𝓨𝓧 - 天权🖤🐉🇵🇸', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '354070f28f4c9db52601970d24251725'}, 'roles': ['1403038713256083576'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-07T14:11:17.838000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'new', 'public_flags': 0, 'primary_guild': None, 'id': '1402709186068090981', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3246', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1402685839682703543', '1402712600915214439'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-06T17:59:05.294000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'JJ', 'public_flags': 0, 'primary_guild': None, 'id': '1403088273425043599', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9519', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'da06f7d12fe7577df08fd20307c61348'}, 'roles': ['1403100084102762570', '1402685839682703543'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-07T19:38:48.452000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1372971563854467123', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-08 00:48:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-08 00:48:38] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 1372971563854467123.
[2025-08-08 00:48:40] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-08 00:48:40] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-08 00:49:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:49:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:50:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:50:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:50:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:50:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:51:22] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:51:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:52:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:52:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:52:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:52:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:53:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:53:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:54:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:54:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:54:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:54:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:55:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-08-08 00:55:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
